name,sector,report_date,revenue,net_income
"Amazon.com, Inc.",Consumer Cyclical,2025-12-31,"716,924,000,000","77,670,000,000"
Walmart Inc.,Consumer Defensive,2026-01-31,"713,163,000,000","21,893,000,000"
UnitedHealth Group Incorporated,Healthcare,2025-12-31,"447,567,000,000","12,056,000,000"
Apple Inc.,Technology,2025-09-30,"416,161,000,000","112,010,000,000"
Alphabet Inc.,Communication Services,2025-12-31,"402,836,000,000","132,170,000,000"
Microsoft Corporation,Technology,2025-06-30,"281,724,000,000","101,832,000,000"
NVIDIA Corporation,Technology,2026-01-31,"215,938,000,000","120,067,000,000"
"Meta Platforms, Inc.",Communication Services,2025-12-31,"200,966,000,000","60,458,000,000"
JPMorgan Chase & Co.,Financial Services,2025-12-31,"181,847,000,000","57,048,000,000"
"The Home Depot, Inc.",Consumer Cyclical,2026-01-31,"164,683,000,000","14,156,000,000"
