ticker,name,report_date,roe_percent,roa_percent
HD,"The Home Depot, Inc.",2025-01-31,222.98,15.40
MA,"Mastercard Incorporated",2024-12-31,198.52,26.78
AAPL,"Apple Inc.",2025-09-30,151.91,31.18
NVDA,"NVIDIA Corporation",2025-01-31,91.87,65.30
ADBE,"Adobe Inc.",2025-11-30,61.34,24.17
V,"Visa Inc.",2025-09-30,52.91,20.13
KO,"The Coca-Cola Company",2024-12-31,42.77,10.57
NFLX,"Netflix, Inc.",2025-12-31,41.26,19.75
GOOGL,"Alphabet Inc.",2025-12-31,31.83,22.20
PG,"The Procter & Gamble Company",2025-06-30,30.71,12.76
