ticker,latest_price,basic_eps,pe_ratio
PYPL,56.56,5.46,10.36
ADBE,237.25,16.73,14.18
DIS,97.67,6.88,14.2
BAC,61.27,3.86,15.87
JPM,341.1,20.05,17.01
PG,149.98,6.67,22.49
JNJ,253.04,11.1315,22.73
HD,338.87,14.26,23.76
NFLX,68.95,2.58,26.72
KO,81.56,3.05,26.74
META,646.01,23.98,26.94
MSFT,393.82,13.7,28.75
GOOGL,346.77,10.91,31.78
UNH,426.09,13.3092,32.01
MA,543.6,16.54,32.87
AMZN,247.23,7.29,33.91
V,358.56,10.22,35.08
NVDA,202.81,4.93,41.14
WMT,114.24,2.74,41.69
AAPL,333.74,7.49,44.56
TSLA,380.84,1.1765,323.71
