ticker,avg_price,price_volatility,min_price_period,max_price_period
META,359.04,186.62,88.2177,788.149
TSLA,224.79,120.35,11.9313,489.88
MSFT,302.37,112.09,111.8254,539.8253
ADBE,428.0,109.6,225.35,688.37
UNH,387.83,106.4,176.0981,603.2012
MA,390.61,98.89,196.5316,597.2732
GOOGL,137.95,71.46,51.5113,402.62
JPM,161.12,70.87,66.7633,332.9063
PYPL,113.88,68.64,38.962,306.8892
HD,290.64,65.37,131.599,418.0819
NVDA,60.27,63.97,3.3237,235.74
AAPL,159.67,63.4,41.4919,315.2
V,238.55,58.69,130.0255,371.1523
AMZN,156.2,46.75,81.82,274.99
NFLX,56.78,27.91,16.637,133.913
DIS,118.63,27.82,77.495,197.2645
JNJ,148.96,27.81,93.9708,248.56
WMT,59.1,26.61,29.7292,134.2
PG,133.52,21.02,84.0365,173.8403
KO,54.61,10.6,31.3042,81.92
BAC,34.25,9.29,15.6159,56.9282
