ticker,latest_price,basic_eps,PE_Ratio
BAC,51.5833,3.8600,13.36
PYPL,56.9100,4.0300,14.12
JPM,297.7600,20.0500,14.85
DIS,111.5600,6.8800,16.22
ADBE,302.7350,16.7300,18.10
UNH,355.1800,15.7432,22.56
PG,150.5800,6.6700,22.58
HD,383.0699,14.9600,25.61
META,661.7750,24.6100,26.89
KO,72.2650,2.4700,29.26
V,327.0000,10.2200,32.00
AAPL,248.6850,7.4900,33.20
NFLX,86.0045,2.5800,33.34
MSFT,469.3000,13.7000,34.26
JNJ,218.2900,5.8440,37.35
MA,525.5900,13.9100,37.79
GOOGL,328.3900,8.1300,40.39
AMZN,239.6850,5.6600,42.35
WMT,118.4000,2.4200,48.93
NVDA,187.9400,2.9700,63.28
TSLA,448.2600,2.2300,201.01
