id,ticker,date,open,high,low,close,adj_close,volume
1,AAPL,2020-12-07,119.0629,121.2629,119.0045,120.4647,120.4647,86712000
2,AAPL,2020-12-08,121.0683,121.6621,119.8222,121.0780,121.0780,82225500
3,AAPL,2020-12-09,121.2240,122.6063,117.7877,118.5470,118.5470,115089200
4,AAPL,2020-12-10,117.3010,120.5816,116.9603,119.9683,119.9683,81312200
5,AAPL,2020-12-11,119.1798,119.5010,117.3497,119.1603,119.1603,86939800
6,AAPL,2020-12-14,119.3453,120.0753,118.3134,118.5470,118.5470,79184500
7,AAPL,2020-12-15,121.0390,124.5045,120.8346,124.4851,124.4851,157243700
8,AAPL,2020-12-16,124.0276,124.9621,123.2001,124.4169,124.4169,98208600
9,AAPL,2020-12-17,125.4780,126.1399,124.6408,125.2833,125.2833,94359800
10,AAPL,2020-12-18,125.5364,125.6727,122.7718,123.2975,123.2975,192541500
11,AAPL,2020-12-21,121.7010,124.9037,120.1727,124.8258,124.8258,121251600
12,AAPL,2020-12-22,128.1161,130.8418,126.2081,128.3789,128.3789,168904800
13,AAPL,2020-12-23,128.6514,128.9143,127.3081,127.4833,127.4833,88223700
14,AAPL,2020-12-24,127.8338,129.9169,127.6196,128.4665,128.4665,54930100
15,AAPL,2020-12-28,130.4329,133.6939,129.9656,133.0612,133.0612,124486200
16,AAPL,2020-12-29,134.3851,135.1055,130.7736,131.2895,131.2895,121047300
17,AAPL,2020-12-30,131.9807,132.3798,129.8585,130.1700,130.1700,96452100
18,AAPL,2020-12-31,130.5205,131.1630,128.2231,129.1674,129.1674,99116600
19,AAPL,2021-01-04,129.9753,130.0630,123.3948,125.9745,125.9745,143301900
20,AAPL,2021-01-05,125.4682,128.2426,125.0204,127.5319,127.5319,97664900
21,AAPL,2021-01-06,124.3293,127.5709,123.0249,123.2391,123.2391,155088000
22,AAPL,2021-01-07,124.9523,128.1355,124.4656,127.4444,127.4444,109578200
23,AAPL,2021-01-08,128.9143,129.1090,126.7727,128.5444,128.5444,105158200
24,AAPL,2021-01-11,125.7603,126.7143,125.0886,125.5559,125.5559,100384500
25,AAPL,2021-01-12,125.0886,126.2470,123.4922,125.3807,125.3807,91951100
26,AAPL,2021-01-13,125.3417,127.9603,125.0789,127.4152,127.4152,88636800
27,AAPL,2021-01-14,127.3276,127.5222,125.3417,125.4877,125.4877,90221800
28,AAPL,2021-01-15,125.3612,126.7630,123.6284,123.7647,123.7647,111598500
29,AAPL,2021-01-19,124.3877,125.2930,123.5700,124.4364,124.4364,90757300
30,AAPL,2021-01-20,125.2444,128.9727,125.1373,128.5249,128.5249,104319500
31,AAPL,2021-01-21,130.2479,135.9621,130.0435,133.2364,133.2364,120150900
32,AAPL,2021-01-22,132.6621,136.1373,131.4355,135.3780,135.3780,114459400
33,AAPL,2021-01-25,139.2718,141.2382,132.9151,139.1258,139.1258,157611700
34,AAPL,2021-01-26,139.7877,140.4692,137.6169,139.3594,139.3594,98390600
35,AAPL,2021-01-27,139.6222,140.4691,136.6824,138.2886,138.2886,140843800
36,AAPL,2021-01-28,135.8161,138.2205,133.0709,133.4506,133.4506,142621100
37,AAPL,2021-01-29,132.2240,133.1099,126.7532,128.4568,128.4568,177523800
38,AAPL,2021-02-01,130.1992,131.7860,127.4541,130.5789,130.5789,106239800
39,AAPL,2021-02-02,132.1266,132.6912,131.0364,131.4063,131.4063,83305400
40,AAPL,2021-02-03,132.1559,132.1657,130.0630,130.3842,130.3842,89880900
41,AAPL,2021-02-04,132.6816,133.7523,131.0169,133.7426,133.7426,84183100
42,AAPL,2021-02-05,133.9035,133.9717,132.4509,133.3283,133.3283,75693800
43,AAPL,2021-02-08,132.6166,133.5233,131.5344,133.4745,133.4745,71297200
44,AAPL,2021-02-09,133.1918,134.4202,132.4411,132.5971,132.5971,76774200
45,AAPL,2021-02-10,133.0553,133.5525,131.0275,131.9926,131.9926,73046600
46,AAPL,2021-02-11,132.4899,132.9676,130.4133,131.7392,131.7392,64280000
47,AAPL,2021-02-12,130.9788,132.1291,130.3353,131.9732,131.9732,60145100
48,AAPL,2021-02-16,132.0901,132.5970,129.4578,129.8478,129.8478,80576300
49,AAPL,2021-02-17,127.9565,128.9022,126.2212,127.5568,127.5568,97918500
50,AAPL,2021-02-18,125.9580,126.7379,124.2129,126.4552,126.4552,96856700
51,AAPL,2021-02-19,126.9719,127.4301,125.5680,126.6112,126.6112,87668800
52,AAPL,2021-02-22,124.7978,126.4649,122.4483,122.8383,122.8383,103916400
53,AAPL,2021-02-23,120.6545,123.5305,115.4192,122.7018,122.7018,158273000
54,AAPL,2021-02-24,121.8049,122.4093,119.1629,122.2046,122.2046,111039900
55,AAPL,2021-02-25,121.5514,123.2867,117.5153,117.9540,117.9540,148199500
56,AAPL,2021-02-26,119.5138,121.7171,118.1587,118.2172,118.2172,164560400
57,AAPL,2021-03-01,120.6447,124.7198,119.7088,124.5833,124.5833,116307900
58,AAPL,2021-03-02,125.1878,125.4900,121.8731,121.9804,121.9804,102260900
59,AAPL,2021-03-03,121.6781,122.5556,118.7827,118.9971,118.9971,112966300
60,AAPL,2021-03-04,118.6949,120.4985,115.6435,117.1156,117.1156,178155000
61,AAPL,2021-03-05,117.9442,118.8801,114.6198,118.3732,118.3732,153766600
62,AAPL,2021-03-08,117.8955,117.9637,113.2939,113.4402,113.4402,154376600
63,AAPL,2021-03-09,116.0432,118.9971,115.8092,118.0515,118.0515,129525800
64,AAPL,2021-03-10,118.6365,119.1044,116.4527,116.9694,116.9694,111943300
65,AAPL,2021-03-11,119.4651,120.1183,118.2172,118.8997,118.8997,103026500
66,AAPL,2021-03-12,117.3788,118.1295,116.1699,117.9930,117.9930,88105100
67,AAPL,2021-03-15,118.3634,120.8885,117.3983,120.8787,120.8787,92403800
